	TCGA-A6-2671-01A	TCGA-A6-2675-01A	TCGA-A6-2678-01A	TCGA-A6-2679-01A	TCGA-A6-2680-01A	TCGA-A6-2671-11A	TCGA-A6-2675-11A	TCGA-A6-2678-11A	TCGA-A6-2679-11A	TCGA-A6-2680-11A
DACT2	97	49	43	19	9	390	176	334	304	115
DACT3	152	205	36	17	84	1289	2157	719	384	1334
DAD1	1627	3807	3068	699	1405	5192	2841	5250	4770	6460
DAG1	6209	6822	5799	619	4482	10831	9190	10080	7772	8903
DAGLA	599	1275	948	158	770	1492	804	1771	1385	1797
DAGLB	878	1128	619	239	650	1217	868	1456	1221	1496
DAK	983	2310	1235	671	2432	2453	1028	2478	1907	31495
DALRD3	838	570	659	241	721	1088	425	972	784	901
DANCR	793	993	1416	733	884	1791	928	2023	1308	1179
DAP	4097	6262	4424	1873	3572	8793	4555	8769	7099	15878
DAP3	2809	3961	3417	1088	3164	3699	2767	3892	3428	4116
DAPK1	291	821	1182	73	242	1550	2245	1930	1415	3570
DAPK2	853	729	368	184	393	2040	748	2026	2155	6080
DAPK3	3849	2230	1386	1054	1806	4086	2832	2656	2629	3814
DAPP1	36	146	215	38	137	147	165	221	366	71
DARS	2850	4484	1954	235	1738	2589	2424	3449	2157	2405
DARS-AS1	8	27	13	0	9	12	10	25	33	27
DARS2	781	1515	1303	48	872	1560	1082	2301	1681	1220
DAXX	2186	3262	1168	533	1695	3377	2396	3691	2978	2816
DAZAP1	6058	4502	2907	1617	4794	5862	3736	5637	5611	5921
DAZAP2	4783	12987	7575	1434	5455	24919	12599	22387	19976	28781
DAZAP2P1	208	35	67	58	37	112	39	81	42	54
DBF4	294	691	766	8	241	328	281	532	484	314
DBF4B	296	266	273	64	218	148	238	283	220	117
DBH-AS1	5	18	18	3	17	21	28	25	33	9
DBI	3848	4194	5006	667	3103	8911	3386	8035	8971	7853
DBN1	2774	1386	463	281	807	2759	4165	2003	1401	2211
DBNDD1	810	585	1661	69	1272	331	159	231	158	178
DBNDD2	224	550	101	73	204	684	456	701	498	392
DBNL	5873	5727	2834	2626	5456	8005	5085	6132	7730	6297
DBP	385	367	113	145	111	863	337	564	666	2223
DBR1	481	728	695	82	317	578	558	773	644	596
DBT	242	921	768	27	219	1452	1218	2079	1100	1088
DCAF10	1002	1465	1444	103	801	1658	1718	2168	1277	1889
DCAF11	2107	4565	1685	522	2062	8268	3687	8298	6931	15224
DCAF12	2164	2485	2341	315	1354	3497	2065	4231	2876	2475
DCAF13	2483	2802	1890	117	1330	1180	1048	1420	1105	1229
DCAF15	1846	1212	698	632	1793	1286	621	1312	1396	987
DCAF16	415	1990	1409	61	533	1110	1307	1646	1101	1202
DCAF17	296	769	361	58	300	585	706	810	587	903
DCAF4	470	1145	210	68	221	807	656	691	606	581
DCAF5	906	2165	814	99	722	3010	3058	3813	2496	3762
DCAF6	1426	2441	2568	106	1168	4285	3265	4837	3012	4211
DCAF7	3803	7459	7535	404	3623	7865	5385	10144	6930	7912
DCAF8	1140	1997	1013	163	1163	2365	2127	2979	1838	2764
DCAKD	1359	1319	765	235	1031	1247	1167	1508	1280	813
DCBLD1	694	1165	594	107	700	784	524	989	780	966
DCBLD2	545	1085	193	36	307	1048	1890	922	516	759
DCDC2	2	236	118	11	16	76	45	58	38	10
DCHS1	1678	1920	545	78	932	1859	3347	1667	1300	1283
DCK	437	731	2198	46	349	1134	713	1469	1113	998
DCLK1	89	207	35	14	17	464	899	495	493	445
DCLK2	84	132	71	1	46	418	613	367	215	550
DCLK3	23	31	36	0	24	28	17	9	10	22
DCLRE1A	232	623	505	27	259	498	447	668	494	399
DCLRE1B	281	535	490	36	221	400	317	454	411	233
DCLRE1C	188	175	395	25	154	306	311	439	406	414
DCN	6136	16512	3975	708	2020	26431	39019	37758	18122	26002
DCP1A	911	1388	1511	127	759	1455	1326	2029	1248	1671
DCP1B	317	695	501	97	213	826	877	874	632	848
DCP2	346	874	1049	23	345	1109	754	1701	1225	957
DCPS	497	748	349	542	695	887	570	629	626	479
DCST1	12	12	16	2	38	16	8	22	18	24
DCST2	18	34	21	18	33	46	15	56	26	103
DCTD	5439	2726	3605	637	2284	2929	2034	2949	2291	2223
DCTN1	6080	6111	2537	763	2864	11268	8434	10844	9014	7732
DCTN2	3197	4594	3807	927	2600	9244	5395	9799	7184	8456
DCTN3	1994	1019	1210	748	1508	2309	1284	2039	1744	2237
DCTN4	1483	2343	3315	162	1561	2875	2490	3645	2365	3197
DCTN5	3160	4187	4038	530	3192	4323	3536	5842	3274	4325
DCTN6	146	430	421	55	200	911	769	956	687	1085
DCTPP1	3077	3374	3345	857	2302	4068	1963	3555	3191	2017
DCUN1D1	431	1131	1435	12	397	1395	1205	1716	1161	2079
DCUN1D2	511	353	460	117	487	491	453	536	336	747
DCUN1D3	489	533	476	70	288	494	338	698	397	627
DCUN1D4	325	1088	709	19	355	1051	1299	1481	922	946
DCUN1D5	447	908	1073	111	470	461	425	502	457	416
DCXR	1530	1314	1522	1166	2522	3110	1174	2501	2341	2936
DDA1	1820	1677	1135	487	1415	3219	1624	2964	2251	2356
DDAH1	1460	5269	9373	240	2859	7612	4637	8819	6302	7755
DDAH2	3828	5906	925	1610	2008	6954	3861	6066	4157	3072
DDB1	6186	13504	7669	1306	6435	12198	9842	13998	10927	15563
DDB2	504	555	509	156	505	996	635	1102	945	1555
DDC	231	2080	725	405	2917	4361	1676	5053	3651	21532
DDHD1	201	737	195	25	159	517	609	667	673	391
DDHD2	436	3377	520	41	252	1441	1954	1709	1204	3362
DDI2	1139	2499	2092	66	673	1503	1639	2515	1656	2736
DDIAS	106	259	431	7	88	66	56	91	135	51
DDIT3	379	591	265	101	524	525	502	543	403	737
DDIT4	1727	1415	716	552	1988	1817	664	2446	2752	2674
DDN	213	115	73	22	121	6	3	3	10	18
DDO	45	131	195	31	118	219	194	59	231	586
DDOST	12433	12632	12622	2629	7939	13989	7666	13840	12049	11155
DDR1	7681	15535	3951	2472	10680	23000	10121	22181	19580	18288
DDR2	567	1913	435	7	243	4265	10137	4528	1516	3586
DDRGK1	2369	2597	1685	1909	2542	3030	1612	2908	2496	4565
DDT	66	804	382	13	139	1981	959	1529	1368	2923
DDTL	27	51	45	5	55	46	42	73	48	167
DDX1	3199	4917	4780	319	2809	5510	4470	5998	4409	8998
DDX10	491	2095	1350	38	532	762	970	865	754	670
DDX11	654	412	456	119	730	922	216	898	782	310
DDX11-AS1	5	9	23	1	22	10	12	14	15	9
DDX12P	72	76	28	9	67	43	41	75	72	63
DDX17	6243	13298	12422	717	6477	15275	16131	24357	13186	19604
DDX18	2297	4958	4445	249	1780	3184	3486	3959	2872	3444
DDX19A	697	1930	1550	173	821	1398	1679	1566	1176	1300
DDX19B	343	848	536	105	458	1110	533	973	785	1485
DDX20	305	750	653	27	216	502	512	811	636	762
DDX21	2435	8059	7213	141	2967	2772	3794	4089	2832	2833
DDX23	3533	5516	4618	819	3343	5934	4600	6413	5271	6297
DDX24	2553	5717	1926	481	1947	5860	6318	6341	4851	6137
DDX26B	129	298	320	18	93	442	367	917	479	275
DDX27	3357	5939	1566	622	2268	2656	2343	2835	2286	3109
DDX28	592	828	749	177	720	824	441	767	730	569
DDX31	671	806	724	187	395	490	464	562	423	290
DDX39A	4799	3609	2765	1050	4989	2619	1427	2418	2880	2999
DDX39B	1278	2604	659	202	1339	1342	1834	3036	1738	1988
DDX3X	4970	12651	10440	453	5939	14898	11715	20668	13615	23313
DDX41	2941	2688	1942	1160	3395	3610	1947	3287	3300	3403
DDX42	3229	4759	4216	365	2781	5474	5793	6572	4679	5825
DDX46	1621	3175	2872	147	1311	2656	2635	3331	2523	3302
DDX47	16	55	18	1	29	28	42	67	30	47
DDX49	3063	2464	1651	623	1696	2656	1508	2578	2021	2153
DDX5	9755	19563	18089	1559	8602	16416	15650	19804	14872	25540
DDX50	656	1675	1195	102	733	1516	1633	1739	1183	1564
DDX51	1096	707	585	234	846	1049	567	904	797	783
DDX52	844	2255	1096	85	591	1349	1178	1643	1373	2087
DDX54	3419	3402	1914	1045	3329	4340	2859	3953	3607	4392
DDX55	364	906	578	103	328	448	445	644	471	391
DDX56	3452	3415	2235	680	2268	2265	1835	2502	2182	2478
DDX58	775	1409	837	57	278	1200	660	1792	1314	2001
DDX59	164	560	449	31	315	866	441	764	808	745
DDX6	2439	4956	4831	237	2064	6778	5383	8423	6187	8140
DDX60	709	3383	1628	36	499	5080	1229	8264	7780	2240
DDX60L	320	1712	805	50	260	1591	1028	1937	1564	2467
DEAF1	1360	772	627	515	772	1479	847	1298	982	2051
DECR1	2171	3500	2550	111	949	5727	2516	6979	6026	8450
DECR2	868	1374	810	747	1584	1462	829	2417	1319	3424
DEDD	919	1312	849	241	860	1808	1410	1919	1381	1940
DEDD2	1750	2076	601	313	1008	2671	1481	2076	1964	2392
DEF6	548	817	295	450	576	966	381	943	1393	557
DEF8	1136	1906	1689	489	1232	1654	1492	1509	1376	1642
DEFA5	62	15	413	52	112	7	5	0	26	129831
DEFA6	111	40	392	129	182	5	1	0	7	42309
DEFB1	4	97	11	23	70	563	206	469	731	584
DEGS1	833	1797	976	185	623	1448	1897	1494	1360	2169
DEGS2	427	636	816	611	1843	2469	743	2014	1549	8595
DEK	2862	6817	3793	292	2342	5337	6086	6265	4849	8510
DENND1A	2656	1827	1557	286	1621	3878	1919	3674	2836	5167
DENND1B	146	689	886	18	271	1554	839	2092	1263	2837
DENND1C	809	1409	692	87	466	4242	1612	3792	3505	3739
DENND2A	201	228	327	58	229	1459	874	1294	1230	782
DENND2C	15	167	31	1	13	83	98	151	87	50
DENND2D	373	1600	1827	113	473	1455	984	2187	2204	1288
DENND3	824	1266	431	174	749	1503	2202	1940	2172	651
DENND4A	222	758	559	11	326	930	1106	1311	1020	953
DENND4B	1527	2001	1136	476	1605	1483	1438	2084	1850	1811
DENND4C	1790	2218	2552	60	1042	2877	2972	4695	2104	4351
DENND5A	1681	1599	499	45	314	1579	3438	1771	1106	1428
DENND5B	46	571	150	34	158	956	819	1090	923	4190
DENND6A	491	973	924	19	441	1039	1047	1222	873	1493
DENND6B	137	180	225	117	93	391	283	349	415	348
DENR	1282	2990	2164	177	1002	2565	2169	2785	2145	2638
DEPDC1	123	254	678	1	114	292	178	432	415	147
DEPDC1B	294	209	560	39	341	362	127	231	373	273
DEPDC4	9	16	23	1	22	31	12	41	28	43
DEPDC5	318	750	496	78	335	1141	831	1359	1102	1001
DEPDC7	92	320	356	41	140	356	187	320	383	2944
DEPTOR	700	1002	390	56	523	1186	1231	1334	771	1251
DERA	658	1754	1836	137	800	4067	1592	4421	2773	7548
DERL1	2588	4511	3358	148	1653	4739	2755	5456	4614	5216
DERL2	451	913	565	207	279	1707	1012	1826	1569	2523
DERL3	70	813	368	743	394	2578	646	2338	4048	477
DES	11335	4781	179	364	841	138906	271640	40229	7188	162227
DESI1	1121	1894	2584	215	1085	1756	1536	1779	1643	2467
DESI2	1809	2173	2741	151	1376	2408	1862	2965	1798	1953
DET1	121	238	172	8	91	306	229	435	312	311
DEXI	49	231	52	6	57	332	242	225	208	362
DFFA	2018	2358	2153	288	1119	1845	2357	2275	1610	1976
DFFB	455	651	440	145	290	412	272	436	412	588
DFNA5	71	285	89	2	44	131	254	139	89	6315
DFNB31	636	255	334	67	122	357	695	335	121	1095
DFNB59	9	26	22	0	4	19	34	35	24	23
DGAT1	3276	5446	2368	1376	4690	6534	4727	7730	7253	61810
DGAT2	675	1937	564	199	1155	422	171	261	243	1182
DGCR11	19	62	63	8	62	109	83	76	105	133
DGCR14	450	683	366	100	308	838	784	717	673	641
DGCR2	3526	6727	3785	914	3493	14799	7143	12095	11616	10215
DGCR6	11	77	2	10	9	73	35	63	36	239
DGCR6L	515	955	708	219	346	1744	1116	1525	1254	2037
DGCR8	1212	1446	1190	263	801	1740	1627	1801	1589	1554
DGKA	184	877	342	129	1082	2745	1398	2600	2668	6934
DGKD	2227	2634	2157	282	2626	6976	3265	5038	4028	4320
DGKE	185	493	271	45	159	407	556	445	329	349
DGKG	117	135	141	18	14	131	156	131	64	310
DGKH	413	1452	648	6	749	1047	1064	1209	675	783
DGKI	22	90	24	1	5	28	58	30	19	27
DGKQ	1681	3956	1246	909	1981	6342	1803	5261	5001	5491
DGKZ	6662	5171	1694	1073	3071	3705	2366	2869	3224	10141
DGKZP1	256	53	102	63	37	54	17	42	39	171
DGUOK	1299	1400	2517	162	1087	1974	882	2169	1687	2419
DGUOK-AS1	20	36	36	0	30	79	65	121	52	41
DHCR24	8071	9521	10564	1704	7228	13855	14012	11918	19013	7767
DHCR7	3140	4254	3672	1086	3550	1720	3509	1677	2510	1339
DHDDS	1303	2045	1452	173	915	4764	3296	4364	4435	2385
DHDH	37	23	16	34	30	32	8	43	30	4251
DHFR	280	300	1117	94	255	721	535	811	739	884
DHFRL1	150	496	215	17	80	600	523	685	406	671
DHODH	315	699	584	141	534	518	519	536	507	318
DHPS	1672	2000	1464	674	1805	2815	1447	2553	1766	2821
DHRS1	398	1008	542	294	684	2328	1425	2290	1529	2511
DHRS11	570	2048	400	409	2566	11866	4041	10413	8867	27819
DHRS12	260	448	473	49	271	728	424	851	586	618
DHRS13	140	100	146	147	135	200	77	152	217	136
DHRS2	9	94	23	15	50	9	10	5	13	11
DHRS3	3072	3200	3387	954	1914	6210	2996	6075	4225	11472
DHRS4	353	465	273	272	536	1324	675	1234	1114	3265
DHRS4-AS1	448	1226	704	42	139	995	784	1434	606	776
DHRS4L2	138	377	239	100	323	1280	550	1098	918	2410
DHRS7	1106	2643	1313	526	954	4416	2167	4401	2600	18516
DHRS7B	800	754	603	378	671	1730	966	1723	1583	1838
DHRS9	9	1147	76	67	753	5005	7911	7721	6773	556
DHRSX	891	1056	1262	264	689	2186	905	1407	1095	1438
DHTKD1	861	1846	924	91	697	2302	1215	2482	2254	1510
DHX15	4547	5330	7033	340	3116	5740	4876	7501	5214	4749
DHX16	1689	2231	668	505	1320	2393	1701	2797	2191	2350
DHX29	442	1660	1303	33	530	1529	1490	1677	1419	1944
DHX30	4593	3292	2413	1346	3523	3585	3093	3633	3099	3003
DHX32	989	2894	1153	305	1134	4013	2302	4171	2349	2481
DHX33	974	1258	589	53	719	958	1126	1187	701	743
DHX34	2034	2194	826	260	1132	746	782	898	730	715
DHX35	845	1270	380	162	596	603	513	823	601	717
DHX36	1077	1843	1558	32	757	1561	1681	1957	1521	1993
DHX37	1879	2197	939	456	1231	1509	1184	1571	1417	809
DHX38	2595	3564	2153	586	3042	3886	3280	4297	3662	3609
DHX40	921	2086	1278	89	591	1767	1405	2378	1166	1673
DHX57	548	927	627	47	349	696	853	914	665	468
DHX58	461	759	315	159	269	415	350	424	976	784
DHX8	2645	3139	1808	388	1920	2963	2075	3642	2648	2863
DHX9	6424	8235	6551	895	4989	7353	7134	8683	7220	8548
DIABLO	204	310	226	51	168	402	274	495	366	477
DIAPH1	6774	8585	7207	920	5587	7622	9203	7651	8228	11095
DIAPH2	904	2971	1578	93	801	2091	1556	3113	1736	1566
DIAPH3	645	351	1172	16	626	237	140	320	279	167
DICER1	457	2359	1087	39	485	2704	3197	3394	2401	2675
DICER1-AS1	35	68	38	5	63	73	65	132	59	108
DIDO1	3360	3587	2428	644	2488	4722	3749	5413	3820	5038
DIEXF	484	1541	1174	94	767	851	927	1330	738	785
DIMT1	522	906	1170	72	687	980	1014	1213	909	1469
DIO2	235	1279	346	16	140	115	116	446	149	174
DIO3	54	226	6	60	196	131	86	137	136	46
DIO3OS	102	851	12	182	534	216	189	424	264	250
DIP2A	853	1608	913	150	986	2036	1814	2752	1869	1928
DIP2B	1197	2926	2221	119	1207	3911	3624	4363	1486	2594
DIP2C	551	1057	464	58	204	1922	3634	1824	769	2004
DIRAS3	10	15	8	0	6	44	76	60	38	84
DIRC2	358	739	342	71	284	1691	1027	1178	1253	1106
DIS3	1250	2277	2505	49	1384	1622	1421	2134	1574	2007
DIS3L	339	881	967	45	529	1044	1202	1567	1062	955
DIS3L2	858	1039	630	256	782	1219	877	1302	1189	950
DISC1	78	140	228	12	79	151	96	264	255	104
DISP1	152	287	107	16	151	310	678	436	228	1021
DISP2	74	219	68	17	136	1561	451	1065	2078	1008
DIXDC1	250	767	418	18	165	1830	3570	1810	691	2034
DKC1	4848	8096	3631	654	3708	2485	2379	2755	2416	1708
DKFZP434I0714	55	94	122	6	66	102	95	165	106	99
DKK2	118	208	85	5	67	108	259	56	3	20
DKK3	2511	3558	1436	350	1807	2532	3058	3462	3101	3268
DLAT	875	2649	3088	154	1062	3579	2463	4246	3147	2561
DLC1	430	1078	511	19	302	1554	2122	1624	853	2409
DLD	2342	4475	5215	360	2800	7536	5479	8653	6569	6897
DLEC1	19	58	30	25	30	105	48	134	111	107
DLEU1	116	205	303	4	142	323	170	357	210	251
DLEU2	44	72	63	2	45	69	56	72	69	72
DLEU7	21	58	18	0	10	24	6	41	30	12
DLG1	1729	3110	2799	78	1303	4404	3004	5342	3446	4737
DLG2	17	65	16	0	7	79	307	117	69	162
DLG3	2263	3799	2395	731	2454	5869	3184	5972	5481	5239
DLG4	497	308	69	36	201	420	641	546	341	371
DLG5	1422	2016	658	155	1187	1773	3164	1911	1294	1934
DLGAP1-AS1	92	156	194	70	107	154	167	181	154	125
DLGAP1-AS2	83	212	631	18	175	72	98	132	100	39
DLGAP3	6	12	7	1	24	47	21	24	40	36
DLGAP4	4654	5271	2196	730	1976	3696	4750	3330	2650	3561
DLGAP5	341	531	748	11	243	399	239	570	564	226
DLK2	31	103	9	4	44	34	36	42	31	53
DLL1	335	363	245	76	332	806	268	1498	894	688
DLL4	706	1577	209	225	807	1074	594	1396	1151	884
DLST	2115	4444	2423	356	2489	9041	5982	9217	7225	10626
DLX4	30	12	6	3	17	18	5	13	11	9
DMAP1	873	1149	611	316	498	1863	1084	1854	1440	2076
DMBT1	8	3528	1291	8063	393	7322	3313	4821	42390	13187
DMC1	3	7	43	0	7	35	21	57	31	19
DMD	201	889	955	10	148	2201	8003	1792	822	2748
DMKN	181	175	23	45	114	162	120	170	186	187
DMPK	1937	979	396	85	692	4708	6680	2103	1095	5215
